------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 238959
Write buffer size:  128 KByte
TCP window size:  544 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35158 connected with 10.0.2.22 port 5001 (ct=0.27 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  4.00 MBytes   186 Mbits/sec  32/0          0      152K/3393 us  6867.58
[  3] 0.1800-0.3600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11851 us  860.22
[  3] 0.3600-0.5400 sec  1.62 MBytes  75.6 Mbits/sec  13/0          0      431K/12058 us  783.73
[  3] 0.5400-0.7200 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11870 us  858.84
[  3] 0.7200-0.9000 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11963 us  852.17
[  3] 0.9000-1.0800 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/12461 us  1227.17
[  3] 1.0800-1.2600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11303 us  901.93
[  3] 1.2600-1.4400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11101 us  918.34
[  3] 1.4400-1.6200 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11552 us  1323.73
[  3] 1.6200-1.8000 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11195 us  910.63
[  3] 1.8000-1.9800 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11257 us  905.61
[  3] 1.9800-2.1600 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11149 us  1371.58
[  3] 2.1600-2.3400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11264 us  905.05
[  3] 2.3400-2.5200 sec  1.62 MBytes  75.7 Mbits/sec  13/0          0      431K/11374 us  832.28
[  3] 2.5200-2.7000 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/12299 us  1243.33
[  3] 2.7000-2.8800 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11212 us  909.25
[  3] 2.8800-3.0600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11212 us  909.25
[  3] 3.0600-3.2400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11413 us  893.23
[  3] 3.2400-3.4200 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11473 us  1332.85
[  3] 3.4200-3.6000 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11335 us  899.38
[  3] 3.6000-3.7800 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11541 us  883.33
[  3] 3.7800-3.9600 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11256 us  1358.54
[  3] 3.9600-4.1400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11260 us  905.37
[  3] 4.1400-4.3200 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11218 us  908.76
[  3] 4.3200-4.5000 sec  2.50 MBytes   117 Mbits/sec  20/0          0      431K/11412 us  1276.16
[  3] 4.5000-4.6800 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11356 us  897.72
[  3] 4.6800-4.8600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11204 us  909.90
[  3] 4.8600-5.0400 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11161 us  1370.10
[  3] 5.0400-5.2200 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11018 us  925.26
[  3] 5.2200-5.4000 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11090 us  919.25
[  3] 5.4000-5.5800 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/10992 us  1391.17
[  3] 5.5800-5.7600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11153 us  914.06
[  3] 5.7600-5.9400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/13187 us  773.07
[  3] 5.9400-6.1200 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/12405 us  1232.71
[  3] 6.1200-6.3000 sec  1.62 MBytes  75.7 Mbits/sec  13/0          0      431K/11425 us  828.56
[  3] 6.3000-6.4800 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11175 us  912.26
[  3] 6.4800-6.6600 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11290 us  1354.45
[  3] 6.6600-6.8400 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11181 us  911.77
[  3] 6.8400-7.0200 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11837 us  861.24
[  3] 7.0200-7.2000 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11126 us  916.28
[  3] 7.2000-7.3800 sec  2.62 MBytes   122 Mbits/sec  21/0          0      431K/11287 us  1354.81
[  3] 7.3800-7.5600 sec  1.75 MBytes  81.6 Mbits/sec  14/0          0      431K/11978 us  851.10
[  3] 7.5600-7.7400 sec  1.91 MBytes  88.9 Mbits/sec  16/0          0      431K/12351 us  899.30
[  3] 7.7400-7.9200 sec  2.11 MBytes  98.5 Mbits/sec  18/0          0      558K/11338 us  1085.55
[  3] 7.9200-8.1000 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/11071 us  1046.34
[  3] 8.1000-8.2800 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/11844 us  1008.61
[  3] 8.2800-8.4600 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/11997 us  995.75
[  3] 8.4600-8.6400 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/12158 us  982.56
[  3] 8.6400-8.8200 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12337 us  909.62
[  3] 8.8200-9.0000 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12564 us  922.00
[  3] 9.0000-9.1800 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/12084 us  479.31
[  3] 9.1800-9.3600 sec  2.11 MBytes  98.5 Mbits/sec  18/0          0      558K/11955 us  1029.53
[  3] 9.3600-9.5400 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12392 us  905.58
[  3] 9.5400-9.7200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12172 us  951.69
[  3] 9.7200-9.9000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12642 us  887.68
[  3] 9.9000-10.0800 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/11970 us  997.99
[  3] 10.0800-10.2600 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/11682 us  991.61
[  3] 10.2600-10.4400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12366 us  936.76
[  3] 10.4400-10.6200 sec  1.06 MBytes  49.2 Mbits/sec  9/0          0      558K/12061 us  510.24
[  3] 10.6200-10.8000 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/12119 us  985.72
[  3] 10.8000-10.9800 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12159 us  952.71
[  3] 10.9800-11.1600 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12074 us  959.42
[  3] 11.1600-11.3400 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/12005 us  995.09
[  3] 11.3400-11.5200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12070 us  959.73
[  3] 11.5200-11.7000 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12465 us  929.32
[  3] 11.7000-11.8800 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/11803 us  1012.12
[  3] 11.8800-12.0600 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/12148 us  476.79
[  3] 12.0600-12.2400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12525 us  924.87
[  3] 12.2400-12.4200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12066 us  960.05
[  3] 12.4200-12.6000 sec  2.11 MBytes  98.5 Mbits/sec  17/0          0      558K/11280 us  1091.13
[  3] 12.6000-12.7800 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/11954 us  969.05
[  3] 12.7800-12.9600 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12112 us  926.52
[  3] 12.9600-13.1400 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/12136 us  984.34
[  3] 13.1400-13.3200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12013 us  964.29
[  3] 13.3200-13.5000 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/13620 us  425.26
[  3] 13.5000-13.6800 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12388 us  935.10
[  3] 13.6800-13.8600 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12293 us  942.32
[  3] 13.8600-14.0400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12394 us  934.65
[  3] 14.0400-14.2200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12357 us  937.44
[  3] 14.2200-14.4000 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12447 us  930.67
[  3] 14.4000-14.5800 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12438 us  931.34
[  3] 14.5800-14.7600 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12770 us  878.78
[  3] 14.7600-14.9400 sec  1.06 MBytes  49.2 Mbits/sec  9/0          0      558K/12230 us  503.19
[  3] 14.9400-15.1200 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12255 us  945.25
[  3] 15.1200-15.3000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12305 us  911.99
[  3] 15.3000-15.4800 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12197 us  920.06
[  3] 15.4800-15.6600 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/12159 us  982.48
[  3] 15.6600-15.8400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12422 us  932.54
[  3] 15.8400-16.0200 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12356 us  937.52
[  3] 16.0200-16.2000 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/12452 us  465.15
[  3] 16.2000-16.3800 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/11899 us  1003.95
[  3] 16.3800-16.5600 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12217 us  948.19
[  3] 16.5600-16.7400 sec  2.11 MBytes  98.5 Mbits/sec  18/0          0      558K/12582 us  978.22
[  3] 16.7400-16.9200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/11949 us  969.45
[  3] 16.9200-17.1000 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0      558K/12809 us  876.10
[  3] 17.1000-17.2800 sec  1.12 MBytes  52.1 Mbits/sec  9/0          0      558K/13519 us  481.99
[  3] 17.2800-17.4600 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12336 us  939.04
[  3] 17.4600-17.6400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12081 us  958.86
[  3] 17.6400-17.8200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12441 us  931.11
[  3] 17.8200-18.0000 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/12486 us  927.76
[  3] 18.0000-18.1800 sec  1.06 MBytes  49.2 Mbits/sec  9/0          0      558K/12095 us  508.81
[  3] 18.1800-18.3600 sec  1.99 MBytes  92.7 Mbits/sec  17/0          0      558K/12227 us  947.41
[  3] 18.3600-18.5400 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/14167 us  817.67
[  3] 18.5400-18.7200 sec  1.99 MBytes  92.7 Mbits/sec  16/0          0      558K/16754 us  691.42
[  3] 18.7200-18.9000 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      558K/14450 us  826.71
[  3] 18.9000-19.0800 sec  1018 KBytes  46.3 Mbits/sec  8/0          0      558K/17332 us  334.18
[  3] 19.0800-19.2600 sec  1.86 MBytes  86.9 Mbits/sec  15/0          0      558K/17633 us  615.89
[  3] 19.2600-19.4400 sec  1.55 MBytes  72.4 Mbits/sec  13/0          4      278K/11350 us  797.36
[  3] 19.4400-19.6200 sec  1.74 MBytes  81.1 Mbits/sec  15/0         20      138K/6947 us  1459.05
[  3] 19.6200-19.8000 sec  1.80 MBytes  84.0 Mbits/sec  15/0          0      139K/8352 us  1256.94
[  3] 19.8000-19.9800 sec  1.68 MBytes  78.2 Mbits/sec  14/0          9       77K/7585 us  1288.60
[  3] 19.9800-20.1600 sec   700 KBytes  31.9 Mbits/sec  6/0          8       70K/7810 us  509.86
[  3] 20.1600-20.3400 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0       80K/8386 us  992.85
[  3] 20.3400-20.5200 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0       97K/7219 us  1303.78
[  3] 20.5200-20.7000 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0      111K/10391 us  801.27
[  3] 20.7000-20.8800 sec   764 KBytes  34.8 Mbits/sec  6/0          5       76K/7698 us  564.30
[  3] 20.8800-21.0600 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0       87K/7141 us  1216.64
[  3] 21.0600-21.2400 sec   573 KBytes  26.1 Mbits/sec  5/0          0       96K/8410 us  387.40
[  3] 21.2400-21.4200 sec  1.18 MBytes  55.0 Mbits/sec  10/0          0       98K/7630 us  901.44
[  3] 21.4200-21.6000 sec  1.55 MBytes  72.4 Mbits/sec  13/0          0      108K/9874 us  916.55
[  3] 21.6000-21.7800 sec   636 KBytes  29.0 Mbits/sec  5/0          8       65K/6991 us  517.81
[  3] 21.7800-21.9600 sec   509 KBytes  23.2 Mbits/sec  4/0          4       42K/4770 us  607.13
[  3] 21.9600-22.1400 sec  1.62 MBytes  75.3 Mbits/sec  14/0          0       60K/4890 us  1924.74
[  3] 22.1400-22.3200 sec  1.12 MBytes  52.1 Mbits/sec  10/0          0       87K/17333 us  375.93
[  3] 22.3200-22.5000 sec  1.55 MBytes  72.4 Mbits/sec  13/0          4       76K/6787 us  1333.43
[  3] 22.5000-22.6800 sec  1018 KBytes  46.3 Mbits/sec  8/0          0       93K/9282 us  624.00
[  3] 22.6800-22.8600 sec  1.49 MBytes  69.5 Mbits/sec  13/0          0       97K/6972 us  1246.13
[  3] 22.8600-23.0400 sec  1.12 MBytes  52.1 Mbits/sec  10/0          6       55K/14921 us  436.70
[  3] 23.0400-23.2200 sec   700 KBytes  31.9 Mbits/sec  6/0          0       77K/17344 us  229.59
[  3] 23.2200-23.4000 sec  1.30 MBytes  60.8 Mbits/sec  11/0          4       46K/7457 us  1019.44
[  3] 23.4000-23.5800 sec  1.24 MBytes  57.9 Mbits/sec  11/0          0       69K/12200 us  593.44
[  3] 23.5800-23.7600 sec  1.93 MBytes  89.8 Mbits/sec  16/0          0       94K/5913 us  1897.85
[  3] 23.7600-23.9400 sec  2.05 MBytes  95.6 Mbits/sec  17/0          0      108K/5733 us  2083.73
[  3] 23.9400-24.1200 sec   700 KBytes  31.9 Mbits/sec  6/0          0      113K/5674 us  701.80
