time,value
0.5,52.4
1.0,56.8
1.5,69.5
2.0,34.8
2.5,0.0
3.0,0.0
3.5,11.6
4.0,23.2
4.5,2.9
5.0,26.1
5.5,5.79
6.0,14.5
6.5,8.69
7.0,11.6
7.5,11.6
8.0,8.69
8.5,11.6
9.0,2.9
9.5,11.6
10.0,11.6
10.5,8.69
11.0,8.69
11.5,11.6
12.0,11.6
12.5,2.9
13.0,11.6
13.5,8.69
14.0,11.6
14.5,11.6
15.0,8.69
15.5,11.6
16.0,2.9
16.5,11.6
17.0,8.69
17.5,11.6
18.0,8.69
18.5,11.6
19.0,8.69
19.5,11.6
20.0,5.79
20.5,8.69
21.0,11.6
21.5,8.69
22.0,11.6
22.5,8.69
23.0,11.6
23.5,8.69
24.0,5.79
24.5,8.69
25.0,11.6
25.5,8.69
26.0,11.6
26.5,11.6
27.0,8.69
27.5,5.79
28.0,11.6
28.5,8.69
29.0,11.6
29.5,8.69
30.0,11.6
30.5,5.79
31.0,8.69
31.5,11.6
32.0,8.69
32.5,11.6
33.0,8.69
33.5,11.6
34.0,8.69
34.5,5.79
35.0,8.69
35.5,11.6
36.0,11.6
36.5,8.69
37.0,11.6
37.5,5.79
38.0,8.69
38.5,11.6
39.0,8.69
39.5,11.6
40.0,8.69
40.5,11.6
41.0,5.79
41.5,8.69
42.0,11.6
42.5,8.69
43.0,11.6
43.5,8.69
44.0,11.6
44.5,5.79
45.0,8.69
45.5,11.6
46.0,8.69
46.5,11.6
47.0,11.6
47.5,2.9
48.0,0.0
48.5,23.2
49.0,11.6
49.5,8.69
50.0,11.6
50.5,8.69
51.0,5.79
51.5,11.6
52.0,8.69
52.5,11.6
53.0,8.69
53.5,11.6
54.0,11.6
54.5,2.9
55.0,11.6
55.5,8.69
56.0,11.6
56.5,8.69
57.0,11.6
57.5,11.6
58.0,2.9
58.5,11.6
59.0,11.6
59.5,8.69
60.0,11.6
60.5,8.69
61.0,5.79
61.5,8.69
62.0,11.6
62.5,11.6
63.0,8.69
63.5,11.6
64.0,8.69
64.5,5.79
65.0,11.6
65.5,8.69
66.0,11.6
66.5,8.69
67.0,11.6
67.5,8.69
68.0,5.79
68.5,11.6
69.0,8.69
69.5,11.6
70.0,8.69
70.5,11.6
71.0,5.79
71.5,8.69
72.0,11.6
72.5,11.6
73.0,8.69
73.5,11.6
74.0,8.69
74.5,5.79
75.0,11.6
75.5,8.69
76.0,11.6
76.5,8.69
77.0,11.6
77.5,2.9
78.0,11.6
78.5,8.69
79.0,11.6
79.5,11.6
80.0,8.69
80.5,11.6
81.0,8.69
81.5,5.79
82.0,11.6
82.5,8.69
83.0,8.69
83.5,2.9
84.0,20.3
84.5,11.6
85.0,5.79
85.5,8.69
86.0,11.6
86.5,8.69
87.0,11.6
87.5,8.69
88.0,11.6
88.5,5.79
89.0,8.69
89.5,11.6
90.0,8.69
90.5,11.6
91.0,8.69
91.5,11.6
92.0,8.69
92.5,5.79
93.0,11.6
93.5,8.69
94.0,11.6
94.5,8.69
95.0,11.6
95.5,8.69
96.0,11.6
96.5,2.9
97.0,11.6
97.5,8.69
98.0,11.6
98.5,8.69
99.0,11.6
99.5,11.6
100.0,2.9
100.5,11.6
101.0,8.69
101.5,11.6
102.0,8.69
102.5,11.6
103.0,8.69
103.5,11.6
104.0,5.79
104.5,8.69
105.0,11.6
105.5,8.69
106.0,11.6
106.5,8.69
107.0,11.6
107.5,8.69
108.0,5.79
108.5,11.6
109.0,8.69
109.5,11.6
110.0,11.6
110.5,2.9
111.0,11.6
111.5,8.69
112.0,11.6
112.5,8.69
113.0,11.6
113.5,11.6
114.0,2.9
114.5,11.6
115.0,11.6
115.5,8.69
116.0,11.6
116.5,8.69
117.0,11.6
117.5,2.9
118.0,11.6
118.5,11.6
119.0,8.69
119.5,2.9
120.0,20.3
120.5,11.6
121.0,2.9
121.5,11.6
122.0,8.69
122.5,11.6
123.0,11.6
123.5,8.69
124.0,11.6
124.5,2.9
125.0,11.6
125.5,8.69
126.0,11.6
126.5,11.6
127.0,5.79
127.5,8.69
128.0,11.6
128.5,8.69
129.0,11.6
129.5,8.69
130.0,11.6
130.5,8.69
131.0,5.79
131.5,11.6
132.0,8.69
132.5,11.6
133.0,8.69
133.5,11.6
134.0,8.69
134.5,5.79
135.0,11.6
135.5,8.69
136.0,11.6
136.5,8.69
137.0,11.6
137.5,11.6
138.0,2.9
138.5,11.6
139.0,8.69
139.5,11.6
140.0,8.69
140.5,11.6
141.0,8.69
141.5,5.79
142.0,11.6
142.5,8.69
143.0,11.6
143.5,11.6
144.0,8.69
144.5,5.79
145.0,8.69
145.5,11.6
146.0,8.69
146.5,11.6
147.0,11.6
147.5,8.69
148.0,5.79
148.5,8.69
149.0,11.6
149.5,8.69
150.0,11.6
150.5,8.69
151.0,11.6
151.5,11.6
152.0,2.9
152.5,11.6
153.0,8.69
153.5,11.6
154.0,11.6
154.5,8.69
155.0,11.6
155.5,2.9
156.0,11.6
156.5,0.0
157.0,23.2
157.5,11.6
158.0,8.69
158.5,5.79
159.0,8.69
159.5,11.6
160.0,8.69
160.5,11.6
161.0,8.69
161.5,11.6
162.0,11.6
162.5,2.9
163.0,11.6
163.5,8.69
164.0,11.6
164.5,8.69
165.0,11.6
165.5,5.79
166.0,8.69
166.5,11.6
