------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  1001 KBytes  45.6 Mbits/sec  8/0          0       67K/27799 us  204.88
[  3] 0.1800-0.3600 sec   445 KBytes  20.3 Mbits/sec  4/0         20      125K/85178 us  29.75
[  3] 0.3600-0.5400 sec   318 KBytes  14.5 Mbits/sec  3/0         91       55K/48871 us  37.04
[  3] 0.5400-0.7200 sec   255 KBytes  11.6 Mbits/sec  2/0          8       57K/47232 us  30.66
[  3] 0.7200-0.9000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       62K/51872 us  13.96
[  3] 0.9000-1.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       65K/54196 us  20.04
[  3] 1.0800-1.2600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/58466 us  24.77
[  3] 1.2600-1.4400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/61635 us  17.62
[  3] 1.4400-1.6200 sec   255 KBytes  11.6 Mbits/sec  2/0          4       41K/33139 us  43.69
[  3] 1.6200-1.8000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       48K/39744 us  36.43
[  3] 1.8000-1.9800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       55K/44717 us  24.29
[  3] 1.9800-2.1600 sec   127 KBytes  5.79 Mbits/sec  1/0          0       59K/49472 us  14.63
[  3] 2.1600-2.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51776 us  20.97
[  3] 2.3400-2.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/55593 us  26.05
[  3] 2.5200-2.7000 sec   191 KBytes  8.69 Mbits/sec  2/0          1       56K/58979 us  18.41
[  3] 2.7000-2.8800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       41K/33330 us  43.44
[  3] 2.8800-3.0600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       48K/39645 us  36.52
[  3] 3.0600-3.2400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       55K/44791 us  24.25
[  3] 3.2400-3.4200 sec   127 KBytes  5.79 Mbits/sec  1/0          0       60K/50525 us  14.33
[  3] 3.4200-3.6000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51475 us  21.10
[  3] 3.6000-3.7800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/56265 us  25.74
[  3] 3.7800-3.9600 sec   191 KBytes  8.69 Mbits/sec  2/0          2       57K/58704 us  18.50
[  3] 3.9600-4.1400 sec   255 KBytes  11.6 Mbits/sec  3/0          0       38K/30626 us  47.28
[  3] 4.1400-4.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       49K/40026 us  36.18
[  3] 4.3200-4.5000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       55K/44949 us  16.11
[  3] 4.5000-4.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       57K/47234 us  30.66
[  3] 4.6800-4.8600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       63K/51960 us  20.90
[  3] 4.8600-5.0400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/56611 us  19.18
[  3] 5.0400-5.2200 sec   191 KBytes  8.69 Mbits/sec  2/0          2       35K/58327 us  18.62
[  3] 5.2200-5.4000 sec   318 KBytes  14.5 Mbits/sec  3/0          0       39K/31844 us  56.84
[  3] 5.4000-5.5800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       49K/40695 us  26.69
[  3] 5.5800-5.7600 sec   127 KBytes  5.79 Mbits/sec  1/0          0       55K/45294 us  15.98
[  3] 5.7600-5.9400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       57K/48320 us  22.48
[  3] 5.9400-6.1200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       63K/52016 us  27.84
[  3] 6.1200-6.3000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/60784 us  23.82
[  3] 6.3000-6.4800 sec   127 KBytes  5.79 Mbits/sec  2/0          1       35K/59011 us  12.27
[  3] 6.4800-6.6600 sec   318 KBytes  14.5 Mbits/sec  3/0          0       39K/31763 us  56.98
[  3] 6.6600-6.8400 sec   127 KBytes  5.79 Mbits/sec  1/0          0       50K/40315 us  17.96
[  3] 6.8400-7.0200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       53K/44092 us  24.63
[  3] 7.0200-7.2000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       59K/48358 us  29.94
[  3] 7.2000-7.3800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       65K/52238 us  20.79
[  3] 7.3800-7.5600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/56829 us  25.48
