1651141184.678042, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50272940 lastrcv:50272940 lastack:50272940 unacked:1 rcv_ssthresh:42340
1651141184.714370, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50272972 lastrcv:50272972 lastack:50272972 unacked:1 rcv_ssthresh:42340
1651141184.742750, 	 reno wscale:8,9 rto:236 rtt:33.902/15.319 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:18 bytes_sent:37648 bytes_acked:11585 segs_out:28 segs_in:5 data_segs_out:26 send 6.2Mbps lastrcv:28 pacing_rate 12.3Mbps delivery_rate 3.5Mbps delivered:9 app_limited busy:24ms unacked:18 rcv_space:14480 rcv_ssthresh:42242 notsent:72400 minrtt:20.501
1651141184.774644, 	 reno wscale:8,9 rto:232 rtt:28.562/6.019 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 bytes_sent:78192 bytes_acked:31857 segs_out:56 segs_in:12 data_segs_out:54 send 13.0Mbps lastrcv:56 pacing_rate 26.0Mbps delivery_rate 6.7Mbps delivered:23 busy:52ms unacked:32 rcv_space:14480 rcv_ssthresh:42242 notsent:31856 minrtt:20.501
1651141184.801614, 	 reno wscale:8,9 rto:232 rtt:30.095/3.173 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:58 bytes_sent:152040 bytes_acked:69505 segs_out:107 segs_in:25 data_segs_out:105 send 22.3Mbps lastsnd:4 lastrcv:88 lastack:4 pacing_rate 44.6Mbps delivery_rate 9.6Mbps delivered:49 busy:84ms unacked:57 rcv_space:14480 rcv_ssthresh:42242 notsent:286704 minrtt:20.501
1651141184.834492, 	 reno wscale:8,9 rto:248 rtt:44.848/8.695 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:88 bytes_sent:238920 bytes_acked:112945 segs_out:167 segs_in:40 data_segs_out:165 send 22.7Mbps lastrcv:124 pacing_rate 45.5Mbps delivery_rate 9.6Mbps delivered:79 busy:120ms unacked:87 rcv_space:14480 rcv_ssthresh:42242 notsent:460464 minrtt:20.501
1651141184.875115, 	 reno wscale:8,9 rto:264 rtt:60.043/11.594 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:121 bytes_sent:334488 bytes_acked:160729 segs_out:233 segs_in:51 data_segs_out:231 send 23.3Mbps lastsnd:4 lastrcv:164 lastack:4 pacing_rate 46.7Mbps delivery_rate 9.7Mbps delivered:112 busy:160ms unacked:120 rcv_space:14480 rcv_ssthresh:42242 notsent:690696 minrtt:20.501
1651141184.907542, 	 reno wscale:8,9 rto:272 rtt:71.773/13.205 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:142 bytes_sent:395304 bytes_acked:191137 segs_out:275 segs_in:58 data_segs_out:273 send 22.9Mbps lastsnd:4 lastrcv:188 lastack:4 pacing_rate 45.8Mbps delivery_rate 9.7Mbps delivered:133 busy:184ms unacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:629880 minrtt:20.501
1651141184.935604, 	 reno wscale:8,9 rto:288 rtt:86.178/14.337 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:166 bytes_sent:464808 bytes_acked:225889 segs_out:323 segs_in:66 data_segs_out:321 send 22.3Mbps lastsnd:4 lastrcv:220 lastack:4 pacing_rate 44.6Mbps delivery_rate 9.7Mbps delivered:157 busy:216ms unacked:165 rcv_space:14480 rcv_ssthresh:42242 notsent:1081656 minrtt:20.501
1651141184.963555, 	 reno wscale:8,9 rto:300 rtt:99.751/13.726 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:190 bytes_sent:534312 bytes_acked:260641 segs_out:371 segs_in:74 data_segs_out:369 send 22.1Mbps lastsnd:4 lastrcv:248 lastack:4 pacing_rate 44.1Mbps delivery_rate 9.6Mbps delivered:181 busy:244ms unacked:189 rcv_space:14480 rcv_ssthresh:42242 notsent:1012152 minrtt:20.501
1651141184.991917, 	 reno wscale:8,9 rto:316 rtt:113.392/15.285 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:211 bytes_sent:595128 bytes_acked:291049 segs_out:413 segs_in:81 data_segs_out:411 send 21.6Mbps lastrcv:272 pacing_rate 43.1Mbps delivery_rate 9.5Mbps delivered:202 busy:268ms unacked:210 rcv_space:14480 rcv_ssthresh:42242 notsent:951336 minrtt:20.501
1651141185.018270, 	 reno wscale:8,9 rto:332 rtt:128.367/15.058 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:235 bytes_sent:664632 bytes_acked:325801 segs_out:461 segs_in:89 data_segs_out:459 send 21.2Mbps lastrcv:300 pacing_rate 42.4Mbps delivery_rate 9.5Mbps delivered:226 busy:296ms unacked:234 rcv_space:14480 rcv_ssthresh:42242 notsent:1598592 minrtt:20.501
1651141185.047915, 	 reno wscale:8,9 rto:344 rtt:140.916/14.446 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:256 bytes_sent:725448 bytes_acked:356209 segs_out:503 segs_in:96 data_segs_out:501 send 21.0Mbps lastsnd:4 lastrcv:328 lastack:4 pacing_rate 42.1Mbps delivery_rate 9.5Mbps delivered:247 busy:324ms unacked:255 rcv_space:14480 rcv_ssthresh:42242 notsent:1537776 minrtt:20.501
1651141185.074547, 	 reno wscale:8,9 rto:360 rtt:157.503/14.665 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:283 bytes_sent:803640 bytes_acked:395305 segs_out:557 segs_in:105 data_segs_out:555 send 20.8Mbps lastsnd:4 lastrcv:360 lastack:4 pacing_rate 41.6Mbps delivery_rate 9.6Mbps delivered:274 busy:356ms unacked:282 rcv_space:14480 rcv_ssthresh:42242 notsent:1459584 minrtt:20.501
1651141185.104515, 	 reno wscale:8,9 rto:372 rtt:170.224/14.365 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:304 bytes_sent:864456 bytes_acked:425713 segs_out:599 segs_in:112 data_segs_out:597 send 20.7Mbps lastrcv:384 pacing_rate 41.4Mbps delivery_rate 9.6Mbps delivered:295 busy:380ms unacked:303 rcv_space:14480 rcv_ssthresh:42242 notsent:1398768 minrtt:20.501
1651141185.131857, 	 reno wscale:8,9 rto:388 rtt:184.396/14.352 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:328 bytes_sent:933960 bytes_acked:460465 segs_out:647 segs_in:120 data_segs_out:645 send 20.6Mbps lastsnd:4 lastrcv:416 lastack:4 pacing_rate 41.2Mbps delivery_rate 9.6Mbps delivered:319 busy:412ms unacked:327 rcv_space:14480 rcv_ssthresh:42242 notsent:2046024 minrtt:20.501
1651141185.160726, 	 reno wscale:8,9 rto:400 rtt:198.902/14.231 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:352 bytes_sent:1003464 bytes_acked:495217 segs_out:695 segs_in:128 data_segs_out:693 send 20.5Mbps lastrcv:440 pacing_rate 41.0Mbps delivery_rate 9.6Mbps delivered:343 busy:436ms unacked:351 rcv_space:14480 rcv_ssthresh:42242 notsent:1976520 minrtt:20.501
1651141185.185871, 	 reno wscale:8,9 rto:412 rtt:211.586/14.636 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:373 bytes_sent:1064280 bytes_acked:525625 segs_out:737 segs_in:135 data_segs_out:735 send 20.4Mbps lastsnd:8 lastrcv:472 lastack:8 pacing_rate 40.8Mbps delivery_rate 9.6Mbps delivered:364 busy:468ms unacked:372 rcv_space:14480 rcv_ssthresh:42242 notsent:1915704 minrtt:20.501
1651141185.215416, 	 reno wscale:8,9 rto:424 rtt:223.393/12.944 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:379 ssthresh:194 bytes_sent:1113512 bytes_retrans:4344 bytes_acked:547345 segs_out:771 segs_in:142 data_segs_out:769 send 19.7Mbps lastsnd:4 lastrcv:496 lastack:4 pacing_rate 24.1Mbps delivery_rate 9.6Mbps delivered:385 busy:492ms unacked:388 retrans:3/3 lost:6 sacked:6 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.240379, 	 reno wscale:8,9 rto:432 rtt:229.511/5.861 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:343 ssthresh:194 bytes_sent:1130888 bytes_retrans:21720 bytes_acked:547345 segs_out:783 segs_in:150 data_segs_out:781 send 17.3Mbps lastsnd:4 lastrcv:524 lastack:4 pacing_rate 23.5Mbps delivery_rate 9.6Mbps delivered:409 busy:520ms unacked:388 retrans:15/15 lost:30 sacked:30 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.268679, 	 reno wscale:8,9 rto:432 rtt:231.479/2.057 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:307 ssthresh:194 bytes_sent:1148264 bytes_retrans:39096 bytes_acked:547345 segs_out:795 segs_in:158 data_segs_out:793 send 15.4Mbps lastsnd:4 lastrcv:552 lastack:4 pacing_rate 23.3Mbps delivery_rate 9.6Mbps delivered:433 busy:548ms unacked:388 retrans:27/27 lost:54 sacked:54 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.300605, 	 reno wscale:8,9 rto:436 rtt:232.226/0.605 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:267 ssthresh:194 bytes_sent:1168536 bytes_retrans:59368 bytes_acked:547345 segs_out:809 segs_in:167 data_segs_out:807 send 13.3Mbps lastrcv:584 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:460 busy:580ms unacked:388 retrans:41/41 lost:81 sacked:81 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.328496, 	 reno wscale:8,9 rto:436 rtt:232.126/0.536 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:235 ssthresh:194 bytes_sent:1183016 bytes_retrans:73848 bytes_acked:547345 segs_out:819 segs_in:174 data_segs_out:817 send 11.7Mbps lastsnd:4 lastrcv:612 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:481 busy:608ms unacked:388 retrans:51/51 lost:102 sacked:102 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.355763, 	 reno wscale:8,9 rto:436 rtt:232.197/0.309 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:199 ssthresh:194 bytes_sent:1200392 bytes_retrans:91224 bytes_acked:547345 segs_out:831 segs_in:182 data_segs_out:829 send 9.9Mbps lastsnd:4 lastrcv:640 lastack:4 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:505 busy:636ms unacked:388 retrans:63/63 lost:126 sacked:126 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
1651141185.383494, 	 reno wscale:8,9 rto:436 rtt:232.331/0.272 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:173 ssthresh:194 bytes_sent:1232248 bytes_retrans:123080 bytes_acked:547345 segs_out:853 segs_in:190 data_segs_out:851 send 8.6Mbps lastrcv:668 pacing_rate 23.2Mbps delivery_rate 9.6Mbps delivered:529 busy:664ms unacked:388 retrans:85/85 lost:150 sacked:150 rcv_space:14480 rcv_ssthresh:42242 notsent:2652736 minrtt:20.501
